id_empresa,fue_cap_des_cod,fue_cap_cue,fue_cap_reg,fue_cap_tot_anio,fue_cap_tot_por_con,fue_cap_aut_apr_agu,fue_cap_cua_aut,FEXP,ciiu1d,TAMANIO_EMPRESA,ACTIVIDAD
14862491093,2,2, , , , , ,1.05546492659054,C,5,C
14862491093,1,2, , , , , ,1.05546492659054,C,5,C
14862934173,1,2, , , , , ,1.05546492659054,C,5,C
14862934173,2,2, , , , , ,1.05546492659054,C,5,C
14862934173,3,2, , , , , ,1.05546492659054,C,5,C
14862934173,4,2, , , , , ,1.05546492659054,C,5,C
14863089094,1,2, , , , , ,1.05546492659054,C,5,C
14863089094,2,2, , , , , ,1.05546492659054,C,5,C
14863089094,3,2, , , , , ,1.05546492659054,C,5,C
14863089094,4,2, , , , , ,1.05546492659054,C,5,C
14863421170,1,2, , , , , ,1.05546492659054,C,5,C
14863421170,2,2, , , , , ,1.05546492659054,C,5,C
14863421170,3,2, , , , , ,1.05546492659054,C,5,C
14863421170,4,2, , , , , ,1.05546492659054,C,5,C
14863425094,1,2, , , , , ,1.34308510638298,C,4,C
14863425094,2,2, , , , , ,1.34308510638298,C,4,C
14863425094,3,2, , , , , ,1.34308510638298,C,4,C
14863425094,4,2, , , , , ,1.34308510638298,C,4,C
14863441171,1,2, , , , , ,1.05546492659054,C,5,C
14863441171,2,2, , , , , ,1.05546492659054,C,5,C
14863441171,3,2, , , , , ,1.05546492659054,C,5,C
14863441171,4,2, , , , , ,1.05546492659054,C,5,C
14863478171,1,2, , , , , ,1.05546492659054,C,5,C
14863478171,2,2, , , , , ,1.05546492659054,C,5,C
14863478171,3,2, , , , , ,1.05546492659054,C,5,C
14863478171,4,2, , , , , ,1.05546492659054,C,5,C
14863499179,1,2, , , , , ,1.34308510638298,C,4,C
14863499179,2,2, , , , , ,1.34308510638298,C,4,C
14863499179,3,2, , , , , ,1.34308510638298,C,4,C
14863499179,4,2, , , , , ,1.34308510638298,C,4,C
14863506108,1,2, , , , , ,3.50724637681159,H,3,H
14863506108,2,2, , , , , ,3.50724637681159,H,3,H
14863506108,3,2, , , , , ,3.50724637681159,H,3,H
14863506108,4,2, , , , , ,3.50724637681159,H,3,H
14863546177,1,2, , , , , ,3.72254335260116,C,3,C
14863546177,2,2, , , , , ,3.72254335260116,C,3,C
14863546177,3,2, , , , , ,3.72254335260116,C,3,C
14863546177,4,2, , , , , ,3.72254335260116,C,3,C
14863550174,1,2, , , , , ,1.05546492659054,C,5,C
14863550174,2,2, , , , , ,1.05546492659054,C,5,C
14863550174,3,2, , , , , ,1.05546492659054,C,5,C
14863550174,4,2, , , , , ,1.05546492659054,C,5,C
14863596093,1,2, , , , , ,1.30508474576271,H,4,H
14863596093,2,2, , , , , ,1.30508474576271,H,4,H
14863596093,3,2, , , , , ,1.30508474576271,H,4,H
14863596093,4,2, , , , , ,1.30508474576271,H,4,H
14863685177,2,1,1,203964.48,100,1,1,1.05546492659054,C,5,C
14863685177,3,2, , , , , ,1.05546492659054,C,5,C
14863685177,1,2, , , , , ,1.05546492659054,C,5,C
14863685177,4,2, , , , , ,1.05546492659054,C,5,C
14863692173,3,2, , , , , ,1.05546492659054,C,5,C
14863692173,2,2, , , , , ,1.05546492659054,C,5,C
14863692173,4,2, , , , , ,1.05546492659054,C,5,C
14863692173,1,2, , , , , ,1.05546492659054,C,5,C
14863718172,2,1,1,237785,100,1,1,1.05546492659054,C,5,C
14863718172,1,2, , , , , ,1.05546492659054,C,5,C
14863718172,3,2, , , , , ,1.05546492659054,C,5,C
14863718172,4,2, , , , , ,1.05546492659054,C,5,C
14863720096,1,2, , , , , ,1.30508474576271,H,4,H
14863720096,2,2, , , , , ,1.30508474576271,H,4,H
14863720096,3,2, , , , , ,1.30508474576271,H,4,H
14863720096,4,2, , , , , ,1.30508474576271,H,4,H
14863728178,2,1,1,36000,99,1,1,1.05546492659054,C,5,C
14863728178,1,2, , , , , ,1.05546492659054,C,5,C
14863728178,3,2, , , , , ,1.05546492659054,C,5,C
14863728178,4,2, , , , , ,1.05546492659054,C,5,C
14863754179,1,2, , , , , ,1.34308510638298,C,4,C
14863754179,2,2, , , , , ,1.34308510638298,C,4,C
14863754179,3,2, , , , , ,1.34308510638298,C,4,C
14863754179,4,2, , , , , ,1.34308510638298,C,4,C
14863868174,2,1,1,126845,60,1,1,1.05546492659054,C,5,C
14863868174,1,2, , , , , ,1.05546492659054,C,5,C
14863868174,3,2, , , , , ,1.05546492659054,C,5,C
14863868174,4,2, , , , , ,1.05546492659054,C,5,C
14864195173,1,2, , , , , ,3.50724637681159,H,3,H
14864195173,2,2, , , , , ,3.50724637681159,H,3,H
14864195173,3,2, , , , , ,3.50724637681159,H,3,H
14864195173,4,2, , , , , ,3.50724637681159,H,3,H
14864280090,1,2, , , , , ,1.34308510638298,C,4,C
14864280090,2,2, , , , , ,1.34308510638298,C,4,C
14864280090,3,2, , , , , ,1.34308510638298,C,4,C
14864280090,4,2, , , , , ,1.34308510638298,C,4,C
14864306170,1,2, , , , , ,3.72254335260116,C,3,C
14864306170,2,2, , , , , ,3.72254335260116,C,3,C
14864306170,3,2, , , , , ,3.72254335260116,C,3,C
14864306170,4,2, , , , , ,3.72254335260116,C,3,C
14864334092,2,2, , , , , ,1.05546492659054,C,5,C
14864334092,1,2, , , , , ,1.05546492659054,C,5,C
14864334092,3,2, , , , , ,1.05546492659054,C,5,C
14864334092,4,2, , , , , ,1.05546492659054,C,5,C
14864339094,1,2, , , , , ,1.05546492659054,C,5,C
14864339094,2,2, , , , , ,1.05546492659054,C,5,C
14864339094,3,2, , , , , ,1.05546492659054,C,5,C
14864339094,4,2, , , , , ,1.05546492659054,C,5,C
14864530177,2,1,1,39330,88,1,1,1.05546492659054,C,5,C
14864530177,4,2, , , , , ,1.05546492659054,C,5,C
14864530177,3,2, , , , , ,1.05546492659054,C,5,C
14864530177,1,2, , , , , ,1.05546492659054,C,5,C
14864584170,2,1,1,12000,2,2, ,1.05546492659054,C,5,C
14864584170,1,1,2, , ,1,1,1.05546492659054,C,5,C
14864584170,3,2, , , , , ,1.05546492659054,C,5,C
14864584170,4,2, , , , , ,1.05546492659054,C,5,C
14865274174,1,2, , , , , ,1.34308510638298,C,4,C
14865274174,2,2, , , , , ,1.34308510638298,C,4,C
14865274174,4,2, , , , , ,1.34308510638298,C,4,C
14865274174,3,2, , , , , ,1.34308510638298,C,4,C
14865319178,1,1,1,201972,100,1,1,1.05546492659054,C,5,C
14865319178,2,1,1,194052,100,1,1,1.05546492659054,C,5,C
14865319178,3,2, , , , , ,1.05546492659054,C,5,C
14865319178,4,2, , , , , ,1.05546492659054,C,5,C
14865347171,1,2, , , , , ,3.72254335260116,C,3,C
14865347171,2,2, , , , , ,3.72254335260116,C,3,C
